,workclass,education
214, Self-emp-inc, 7th-8th
215, Private, Bachelors
216, Private, Assoc-acdm
217, Private, Bachelors
218, Private, Bachelors
219, Private, 10th
220, Private, Some-college
221, ?, 1st-4th
222, Private, HS-grad
223, Private, HS-grad
224, Local-gov, Preschool
225, Private, HS-grad
226, ?, 10th
227, Self-emp-not-inc, HS-grad
228, Private, Assoc-voc
229, Private, HS-grad
230, Private, 11th
231, Private, HS-grad
232, Private, Some-college
233, Private, Some-college
234, Private, Prof-school
235, State-gov, HS-grad
236, State-gov, Some-college
237, Private, Bachelors
238, Local-gov, Masters
239, Private, HS-grad
240, Private, Bachelors
241, Self-emp-not-inc, HS-grad
242, State-gov, Assoc-acdm
243, ?, Some-college
244, Private, Some-college
245, Private, HS-grad
246, Private, HS-grad
247, Private, HS-grad
248, Private, Assoc-acdm
249, Private, HS-grad
250, Private, Prof-school
251, Private, Bachelors
252, Local-gov, 10th
253, Local-gov, Some-college
254, Private, Some-college
255, Self-emp-not-inc, HS-grad
256, Private, HS-grad
257, Private, HS-grad
258, Private, Assoc-voc
259, Private, 7th-8th
260, Private, Bachelors
261, Private, HS-grad
262, Private, 11th
263, Private, Some-college
264, Private, 11th
265, Self-emp-inc, Some-college
266, ?, Some-college
267, Private, HS-grad
268, Private, Bachelors
269, Private, HS-grad
270, Private, HS-grad
271, Private, 9th
272, Self-emp-not-inc, Masters
273, Local-gov, Masters
274, Private, HS-grad
275, Private, HS-grad
276, Private, Some-college
277, Private, Some-college
278, Private, Some-college
279, Private, Some-college
280, Private, Bachelors
281, Local-gov, Some-college
282, Private, Assoc-acdm
283, Private, Bachelors
284, Private, HS-grad
285, Federal-gov, Masters
286, Private, Prof-school
287, Private, Some-college
288, Private, Bachelors
289, Private, 7th-8th
290, Private, Bachelors
291, Private, HS-grad
292, Local-gov, Bachelors
293, Private, Some-college
294, Private, Bachelors
295, Private, HS-grad
296, Self-emp-inc, Bachelors
297, ?, Masters
298, Private, HS-grad
299, Private, HS-grad
300, Private, Bachelors
301, Private, Some-college
302, Private, HS-grad
303, Private, HS-grad
304, Private, Some-college
305, Private, HS-grad
306, Private, Assoc-acdm
307, Private, Assoc-acdm
308, Private, Assoc-acdm
309, Self-emp-inc, Some-college
310, Private, Bachelors
311, Private, Masters
312, ?, Some-college
313, Self-emp-not-inc, Bachelors
314, Private, Some-college
315, Private, Some-college
316, Self-emp-not-inc, Some-college
317, Private, 5th-6th
318, Private, Some-college
319, Private, HS-grad
320, Self-emp-not-inc, HS-grad
321, Private, Some-college
322, Private, HS-grad
323, Private, 11th
324, Self-emp-not-inc, Masters
325, Self-emp-not-inc, HS-grad
326, ?, Assoc-voc
327, Private, Some-college
328, Self-emp-not-inc, HS-grad
329, Private, HS-grad
330, Private, Some-college
331, Private, Bachelors
332, Private, Assoc-voc
333, Local-gov, 10th
334, Private, HS-grad
335, Private, 5th-6th
336, Private, HS-grad
337, Private, Masters
338, Private, HS-grad
339, Private, HS-grad
340, Private, Assoc-acdm
341, Private, Assoc-voc
342, State-gov, HS-grad
343, Private, HS-grad
344, State-gov, Some-college
345, Self-emp-not-inc, Bachelors
346, ?, 11th
347, ?, Assoc-voc
348, Private, Assoc-acdm
349, Private, Bachelors
350, Private, Bachelors
351, Private, HS-grad
352, Private, Bachelors
353, Local-gov, 11th
354, ?, Bachelors
355, Federal-gov, HS-grad
356, Private, 11th
357, Private, Assoc-voc
358, Private, HS-grad
359, Self-emp-not-inc, 9th
360, Private, 10th
361, Private, Masters
362, Private, Bachelors
363, Private, Bachelors
364, Private, HS-grad
365, Private, HS-grad
366, Self-emp-not-inc, Some-college
367, Private, Assoc-acdm
368, Private, Bachelors
369, Private, HS-grad
370, Federal-gov, Some-college
371, Private, 11th
372, State-gov, Assoc-voc
373, Private, HS-grad
374, Private, HS-grad
375, Local-gov, Some-college
376, Private, HS-grad
377, Private, Some-college
378, Self-emp-not-inc, Masters
379, Private, HS-grad
380, Private, HS-grad
381, Private, 5th-6th
382, Private, Some-college
383, Private, Some-college
384, Local-gov, Some-college
385, Private, HS-grad
386, Private, HS-grad
387, Private, Some-college
388, Private, Some-college
389, Private, HS-grad
390, Private, HS-grad
391, Private, Bachelors
392, Self-emp-not-inc, Assoc-acdm
393, State-gov, Bachelors
394, Private, HS-grad
395, Private, Some-college
396, Private, Some-college
397, ?, HS-grad
398, Private, Bachelors
399, Self-emp-inc, Bachelors
400, Private, Some-college
401, Private, Some-college
402, State-gov, Bachelors
403, Private, Assoc-voc
404, Private, 7th-8th
405, Private, Masters
406, Private, HS-grad
407, Self-emp-not-inc, HS-grad
408, ?, Some-college
409, Private, Some-college
410, Local-gov, Some-college
411, Private, HS-grad
412, Private, Some-college
413, Private, Doctorate
414, State-gov, Some-college
415, Private, 12th
416, Private, 1st-4th
417, Private, 11th
418, Local-gov, 11th
419, State-gov, HS-grad
420, Private, Some-college
421, Private, 11th
422, State-gov, Bachelors
423, Private, HS-grad
424, Private, 10th
425, Private, HS-grad
426, Federal-gov, Masters
427, Private, HS-grad
428, Self-emp-inc, HS-grad
429, Local-gov, Masters
430, ?, HS-grad
431, ?, 11th
432, Self-emp-not-inc, Bachelors
433, Private, Assoc-acdm
434, Private, Some-college
435, Private, Masters
436, Local-gov, HS-grad
437, Local-gov, Some-college
438, Private, Some-college
439, Local-gov, Some-college
440, Private, Bachelors
441, Private, HS-grad
442, Federal-gov, HS-grad
443, Private, Some-college
444, Private, 9th
445, Private, Some-college
446, Private, HS-grad
447, Private, HS-grad
448, Private, HS-grad
449, ?, 11th
450, Private, HS-grad
451, Self-emp-inc, Some-college
452, Private, HS-grad
453, Private, Assoc-acdm
454, Self-emp-not-inc, HS-grad
455, Private, Assoc-voc
456, Private, HS-grad
457, Private, Some-college
458, Private, HS-grad
459, ?, Some-college
460, Private, Assoc-acdm
461, Local-gov, HS-grad
462, Private, Bachelors
463, Private, 1st-4th
464, Private, Bachelors
465, Private, HS-grad
466, Private, HS-grad
467, Private, Some-college
468, Private, Masters
469, Private, Bachelors
470, Private, Some-college
471, ?, Some-college
472, Private, HS-grad
473, Private, HS-grad
474, Private, Assoc-voc
475, Private, Bachelors
476, Private, 9th
477, Private, Some-college
478, Private, 10th
479, Private, HS-grad
480, Private, Assoc-acdm
481, Self-emp-not-inc, Some-college
482, State-gov, Bachelors
483, Private, HS-grad
484, ?, 12th
485, Private, Some-college
486, ?, 1st-4th
487, Local-gov, HS-grad
488, Local-gov, Bachelors
489, Private, Bachelors
490, Private, HS-grad
491, Federal-gov, HS-grad
492, Private, Assoc-acdm
493, Private, HS-grad
494, Private, Bachelors
495, Private, HS-grad
496, Private, Some-college
497, Private, 5th-6th
498, Private, Some-college
499, ?, HS-grad
500, Local-gov, HS-grad
501, Local-gov, HS-grad
502, Private, Some-college
503, Private, Some-college
504, Private, Bachelors
505, Private, Bachelors
506, Private, Some-college
507, Private, Some-college
508, Local-gov, HS-grad
509, Private, HS-grad
510, Private, Assoc-voc
511, ?, 5th-6th
512, Private, Assoc-voc
513, Private, Some-college
514, Private, HS-grad
515, ?, Assoc-voc
516, Private, Some-college
517, ?, Some-college
518, ?, Some-college
519, Private, Bachelors
520, Self-emp-inc, Bachelors
521, Private, HS-grad
522, Local-gov, Some-college
523, Local-gov, Some-college
524, Private, Some-college
525, Private, Some-college
526, Private, Bachelors
527, Private, Some-college
528, Self-emp-not-inc, HS-grad
529, Self-emp-not-inc, Masters
530, Private, 11th
531, Private, HS-grad
532, Private, HS-grad
533, Private, Assoc-acdm
534, Private, Prof-school
535, Local-gov, 12th
536, Private, 1st-4th
537, Private, Assoc-voc
538, Self-emp-inc, Bachelors
539, ?, HS-grad
540, Private, Some-college
541, Private, Doctorate
542, Private, Some-college
543, Private, HS-grad
544, Private, Some-college
545, Private, HS-grad
546, Private, 10th
547, Local-gov, Some-college
548, Private, HS-grad
549, Private, Some-college
550, Self-emp-not-inc, Some-college
551, Self-emp-not-inc, HS-grad
552, Private, 11th
553, Private, HS-grad
554, Federal-gov, Assoc-voc
555, Private, 11th
556, Private, HS-grad
557, Private, HS-grad
558, Private, HS-grad
559, Private, 11th
560, Private, Bachelors
561, Private, Bachelors
562, Private, Some-college
563, Private, HS-grad
564, Self-emp-not-inc, Bachelors
565, Private, HS-grad
566, Self-emp-inc, Masters
567, Private, 7th-8th
568, Self-emp-not-inc, HS-grad
569, Private, Masters
570, Private, HS-grad
571, Private, HS-grad
572, Private, 11th
573, Private, Assoc-voc
574, Private, Doctorate
575, Private, Bachelors
576, ?, 12th
577, Self-emp-not-inc, Assoc-acdm
578, Local-gov, Bachelors
579, Self-emp-not-inc, Some-college
580, ?, Some-college
581, Private, HS-grad
582, Private, HS-grad
583, Private, HS-grad
584, Self-emp-not-inc, Bachelors
585, Private, Some-college
586, Private, Some-college
587, Private, 11th
588, Private, 10th
589, Self-emp-inc, Bachelors
590, ?, HS-grad
591, ?, HS-grad
592, Private, 7th-8th
593, Private, Bachelors
594, Private, Bachelors
595, Private, HS-grad
596, ?, Some-college
597, Self-emp-not-inc, Prof-school
598, Private, Some-college
599, Private, Bachelors
600, Private, Bachelors
601, Private, Some-college
602, Private, 7th-8th
603, Local-gov, 9th
604, Self-emp-not-inc, Assoc-acdm
605, Private, HS-grad
606, Private, Masters
607, Private, HS-grad
608, Local-gov, HS-grad
609, Private, 10th
610, Private, Masters
611, Private, HS-grad
612, Private, HS-grad
613, Local-gov, Bachelors
614, Private, Bachelors
615, Private, HS-grad
616, Private, HS-grad
617, Self-emp-not-inc, HS-grad
618, Self-emp-inc, Bachelors
619, Private, Prof-school
620, Private, Bachelors
621, Private, 11th
622, Private, 9th
623, Private, Assoc-voc
624, Private, 9th
625, Private, HS-grad
626, Private, HS-grad
627, Self-emp-not-inc, HS-grad
628, Private, Some-college
629, Private, Bachelors
630, Self-emp-not-inc, Some-college
631, Local-gov, 10th
632, Private, Some-college
633, Private, Bachelors
634, Self-emp-not-inc, HS-grad
635, Private, HS-grad
636, Private, Bachelors
637, Private, Bachelors
638, Self-emp-inc, 5th-6th
639, Self-emp-not-inc, Doctorate
640, Private, HS-grad
641, Private, HS-grad
642, Private, Some-college
643, Private, Some-college
644, Private, Some-college
645, Self-emp-inc, Doctorate
646, Local-gov, HS-grad
647, Private, HS-grad
648, ?, HS-grad
649, State-gov, Bachelors
650, Private, Some-college
651, Private, HS-grad
652, Private, Doctorate
653, State-gov, Some-college
654, Private, HS-grad
655, State-gov, Some-college
656, ?, 9th
657, Private, HS-grad
658, Private, 7th-8th
659, Private, HS-grad
660, Self-emp-not-inc, 12th
661, Private, Masters
662, Private, Some-college
663, Local-gov, Masters
664, Private, Some-college
665, Private, Assoc-acdm
666, State-gov, Some-college
667, Private, HS-grad
668, ?, 11th
669, Private, 9th
670, Federal-gov, Some-college
671, ?, 11th
672, Self-emp-not-inc, 11th
673, Private, Bachelors
674, Self-emp-inc, HS-grad
675, Private, HS-grad
676, Private, 12th
677, Private, Some-college
678, Private, HS-grad
679, Self-emp-not-inc, HS-grad
680, Local-gov, HS-grad
681, Private, Assoc-voc
682, Self-emp-not-inc, HS-grad
683, Local-gov, Some-college
684, State-gov, 11th
685, Private, HS-grad
686, ?, 7th-8th
687, Local-gov, Bachelors
688, Private, Masters
689, Private, HS-grad
690, Local-gov, Some-college
691, Private, Some-college
692, Private, Some-college
693, Private, Some-college
694, State-gov, Bachelors
695, ?, Assoc-acdm
696, Private, Masters
697, Private, Masters
698, Private, Bachelors
699, Private, HS-grad
700, Local-gov, Bachelors
701, Private, Bachelors
702, Private, Some-college
703, Self-emp-not-inc, Some-college
704, Private, Doctorate
705, Private, Bachelors
706, Private, 12th
707, Private, Some-college
708, Private, HS-grad
709, Private, 11th
710, Private, Bachelors
711, Private, Some-college
712, Private, Bachelors
713, Private, Assoc-voc
714, Local-gov, Bachelors
715, Private, HS-grad
716, Private, HS-grad
717, State-gov, HS-grad
718, Private, Some-college
719, Private, Bachelors
720, Private, HS-grad
721, Private, HS-grad
722, Private, Bachelors
723, Local-gov, HS-grad
724, Private, Bachelors
725, Private, Bachelors
726, Private, HS-grad
727, Private, Some-college
728, Private, HS-grad
729, Self-emp-not-inc, 11th
730, Private, Some-college
731, Private, Some-college
732, Private, Assoc-voc
733, Private, Assoc-voc
734, ?, Some-college
735, Private, Some-college
736, Private, Some-college
737, State-gov, Bachelors
738, Private, HS-grad
739, Private, Bachelors
740, Private, Some-college
741, Self-emp-not-inc, HS-grad
742, Private, Masters
743, Private, Assoc-voc
744, Private, 12th
745, Local-gov, Bachelors
746, Private, HS-grad
747, Private, Some-college
748, Private, 11th
749, State-gov, Bachelors
750, State-gov, Bachelors
751, Private, Bachelors
752, Self-emp-not-inc, 10th
753, Private, HS-grad
754, Private, HS-grad
755, Private, Assoc-voc
756, Private, HS-grad
757, Local-gov, Bachelors
758, Federal-gov, HS-grad
759, Private, HS-grad
760, Private, HS-grad
761, Local-gov, HS-grad
762, Local-gov, HS-grad
763, Self-emp-inc, Doctorate
764, Private, Bachelors
765, Private, 10th
766, State-gov, Some-college
767, Private, Some-college
768, Self-emp-not-inc, Bachelors
769, Private, HS-grad
770, Private, Some-college
771, Private, 5th-6th
772, Private, HS-grad
773, Private, Assoc-voc
774, Private, HS-grad
775, Local-gov, Assoc-voc
776, Private, Some-college
777, Private, Masters
778, Private, Bachelors
779, Private, Some-college
780, State-gov, Some-college
781, Private, Assoc-voc
782, Private, Assoc-voc
783, Self-emp-not-inc, Some-college
784, Private, Bachelors
785, Private, Some-college
786, Self-emp-not-inc, HS-grad
787, Private, 12th
788, ?, HS-grad
789, ?, HS-grad
790, Private, Assoc-voc
791, Self-emp-inc, Bachelors
792, ?, Some-college
793, Private, HS-grad
794, Private, HS-grad
795, Private, Some-college
796, Private, HS-grad
797, Private, HS-grad
798, Private, Masters
799, Private, Bachelors
800, Private, Assoc-acdm
801, Private, HS-grad
802, Self-emp-not-inc, 11th
803, Private, HS-grad
804, Private, 11th
805, Private, HS-grad
806, ?, Masters
807, Private, Bachelors
808, Private, Bachelors
809, Private, HS-grad
810, Private, HS-grad
811, ?, Some-college
812, Private, Some-college
813, Private, Some-college
814, Private, 10th
815, Self-emp-not-inc, HS-grad
816, Private, Assoc-voc
817, Private, Some-college
818, Private, HS-grad
819, Private, HS-grad
820, Private, Assoc-voc
821, Private, Masters
822, Private, Assoc-voc
823, Private, HS-grad
824, Private, HS-grad
825, Private, HS-grad
826, Private, HS-grad
827, Private, HS-grad
828, Private, Some-college
829, Self-emp-inc, Bachelors
830, ?, 11th
831, Private, Some-college
832, Private, Some-college
833, Self-emp-not-inc, HS-grad
834, ?, 11th
835, Private, HS-grad
836, Private, HS-grad
837, Private, Bachelors
838, Private, Bachelors
839, Private, HS-grad
840, Private, 11th
841, Private, Some-college
842, Private, Some-college
843, Local-gov, Bachelors
844, Private, HS-grad
845, Private, Some-college
846, Local-gov, HS-grad
847, Private, Bachelors
848, Private, Bachelors
849, Private, HS-grad
850, Private, Masters
851, Private, Assoc-voc
852, Self-emp-not-inc, HS-grad
853, Private, Bachelors
854, State-gov, Doctorate
855, Private, HS-grad
856, Local-gov, HS-grad
857, Private, HS-grad
858, Private, Bachelors
859, Private, Bachelors
860, Private, 11th
861, Private, HS-grad
862, Private, 11th
863, Self-emp-inc, Some-college
864, Private, HS-grad
865, Private, Some-college
866, Private, 10th
867, Private, 11th
868, Private, Some-college
869, Self-emp-not-inc, Bachelors
870, Private, Bachelors
871, Private, Some-college
872, Self-emp-not-inc, Masters
873, Self-emp-not-inc, Bachelors
874, Private, 5th-6th
875, Private, Bachelors
876, Private, HS-grad
877, Private, Assoc-voc
878, Private, HS-grad
879, Private, HS-grad
880, Private, 9th
881, Private, Bachelors
882, Private, HS-grad
883, Private, Bachelors
884, Private, Some-college
885, ?, Some-college
886, Private, Bachelors
887, Self-emp-inc, Some-college
888, Self-emp-not-inc, HS-grad
889, Private, Assoc-voc
890, ?, Some-college
891, Self-emp-not-inc, Bachelors
892, Private, Assoc-voc
893, Private, Bachelors
894, Self-emp-not-inc, Prof-school
895, Private, Masters
896, Private, Some-college
897, Private, Bachelors
898, Private, Bachelors
899, Private, HS-grad
900, Local-gov, 7th-8th
901, Self-emp-not-inc, 9th
902, Private, HS-grad
903, ?, Assoc-acdm
904, Private, HS-grad
905, Private, HS-grad
906, Private, Some-college
907, Private, Bachelors
908, Self-emp-not-inc, HS-grad
909, Private, Some-college
910, Private, HS-grad
911, Private, Some-college
912, Self-emp-not-inc, 10th
913, Private, Some-college
914, Private, HS-grad
915, Private, Bachelors
916, Private, Masters
917, Self-emp-inc, HS-grad
918, Self-emp-not-inc, HS-grad
919, Private, Some-college
920, Private, Some-college
921, Private, Some-college
922, Private, 5th-6th
923, Private, Some-college
924, ?, HS-grad
925, Private, HS-grad
926, Private, HS-grad
927, Private, Masters
928, Private, Some-college
929, Private, 1st-4th
930, Private, HS-grad
931, ?, Some-college
932, Local-gov, Preschool
933, Private, HS-grad
934, Private, 11th
935, Private, HS-grad
936, Private, Masters
937, Private, Prof-school
938, Private, HS-grad
939, Private, Bachelors
940, Private, Assoc-acdm
941, Private, HS-grad
942, Self-emp-inc, HS-grad
943, Private, HS-grad
944, Private, HS-grad
945, Local-gov, Some-college
946, Private, Some-college
947, Self-emp-inc, Bachelors
948, Private, Some-college
949, Self-emp-not-inc, Some-college
950, State-gov, HS-grad
951, Private, Masters
952, Private, 7th-8th
953, Private, HS-grad
954, Private, Some-college
955, Private, 10th
956, Self-emp-inc, Some-college
957, Local-gov, 10th
958, Self-emp-not-inc, Bachelors
959, Private, Assoc-acdm
960, Private, Some-college
961, Private, HS-grad
962, Private, Bachelors
963, Private, 10th
964, Private, HS-grad
965, Private, HS-grad
966, Self-emp-inc, Some-college
967, Self-emp-not-inc, HS-grad
968, Private, Bachelors
969, ?, Assoc-voc
970, Private, HS-grad
971, Private, Bachelors
972, Private, Bachelors
973, Private, HS-grad
974, Private, HS-grad
975, Private, Some-college
976, Private, Some-college
977, State-gov, Masters
978, Private, HS-grad
979, Private, HS-grad
980, Private, HS-grad
981, Private, Assoc-acdm
982, ?, HS-grad
983, Self-emp-not-inc, HS-grad
984, Local-gov, HS-grad
985, Private, Assoc-voc
986, Private, HS-grad
987, Private, HS-grad
988, Private, HS-grad
989, Private, Some-college
990, Private, Bachelors
991, Private, Assoc-voc
992, Self-emp-not-inc, HS-grad
993, Private, HS-grad
994, Private, HS-grad
995, Private, HS-grad
996, Private, Masters
997, Federal-gov, Bachelors
998, Private, Some-college
999, Self-emp-inc, Bachelors
1000, Private, Some-college
1001, Private, Doctorate
1002, State-gov, HS-grad
1003, Local-gov, Bachelors
1004, Private, HS-grad
1005, Private, Bachelors
1006, Private, HS-grad
1007, Self-emp-inc, HS-grad
1008, Self-emp-not-inc, HS-grad
1009, Private, Some-college
1010, Private, HS-grad
1011, Private, Assoc-voc
1012, Private, HS-grad
1013, Private, Some-college
1014, Private, Masters
1015, Private, 7th-8th
1016, Private, Assoc-voc
1017, Private, HS-grad
1018, Private, HS-grad
1019, ?, HS-grad
1020, Private, Some-college
1021, Local-gov, Masters
1022, Private, HS-grad
1023, Private, Some-college
1024, Private, HS-grad
1025, Private, HS-grad
1026, Private, Bachelors
1027, Private, HS-grad
1028, Private, 10th
1029, Self-emp-inc, Masters
1030, Private, Assoc-voc
1031, State-gov, Assoc-acdm
1032, Private, Some-college
1033, Private, HS-grad
1034, ?, 7th-8th
1035, ?, HS-grad
1036, Self-emp-inc, 9th
1037, Private, HS-grad
1038, Private, HS-grad
1039, ?, 11th
1040, Private, HS-grad
1041, Private, Some-college
1042, Private, Some-college
1043, Private, Bachelors
1044, Private, Some-college
1045, Private, Prof-school
1046, ?, Assoc-acdm
1047, Private, Some-college
1048, Private, Some-college
1049, Private, Bachelors
1050, Private, HS-grad
1051, Self-emp-not-inc, Bachelors
1052, Private, Bachelors
1053, Self-emp-not-inc, Some-college
1054, Private, Some-college
1055, Private, Bachelors
1056, Self-emp-not-inc, 12th
1057, Private, Assoc-voc
1058, Local-gov, Masters
1059, Private, HS-grad
1060, Self-emp-not-inc, HS-grad
1061, Private, HS-grad
1062, Private, HS-grad
1063, Private, Assoc-acdm
1064, Private, Some-college
1065, Private, Some-college
1066, Private, Prof-school
1067, Private, 12th
1068, Private, Bachelors
1069, Private, Assoc-acdm
1070, Local-gov, Bachelors
1071, Private, HS-grad
1072, Private, HS-grad
1073, State-gov, Doctorate
1074, Private, 11th
1075, Self-emp-not-inc, Some-college
1076, Private, Bachelors
1077, Private, Bachelors
1078, Private, HS-grad
1079, State-gov, Assoc-voc
1080, Private, Bachelors
1081, Local-gov, HS-grad
1082, Self-emp-not-inc, HS-grad
1083, Local-gov, Some-college
1084, Private, Some-college
1085, Private, Assoc-voc
1086, Private, HS-grad
1087, Private, Bachelors
1088, Private, Some-college
1089, Private, HS-grad
1090, Federal-gov, Assoc-acdm
1091, Self-emp-not-inc, Bachelors
1092, Private, Doctorate
1093, Private, HS-grad
1094, Private, Some-college
1095, Self-emp-not-inc, Bachelors
1096, Private, 10th
1097, ?, HS-grad
1098, Self-emp-inc, HS-grad
1099, Private, Some-college
1100, ?, 7th-8th
1101, Self-emp-inc, Bachelors
1102, Self-emp-inc, 9th
1103, Private, Bachelors
1104, Self-emp-not-inc, Assoc-acdm
1105, Local-gov, HS-grad
1106, Private, Bachelors
1107, Private, HS-grad
1108, Private, Bachelors
1109, Private, Assoc-voc
1110, Self-emp-inc, Masters
1111, Private, Bachelors
1112, State-gov, Bachelors
1113, Private, HS-grad
1114, Private, HS-grad
1115, Self-emp-inc, Assoc-voc
1116, Private, Some-college
1117, Private, HS-grad
1118, Local-gov, Bachelors
1119, Private, Bachelors
1120, Private, Some-college
1121, Federal-gov, HS-grad
1122, State-gov, Some-college
1123, Private, Bachelors
1124, Private, Some-college
1125, Private, Assoc-voc
1126, Private, HS-grad
1127, Federal-gov, HS-grad
1128, Self-emp-not-inc, Some-college
1129, Private, Bachelors
1130, Private, Some-college
1131, ?, HS-grad
1132, Private, HS-grad
1133, Private, Assoc-voc
1134, ?, Some-college
1135, Private, Some-college
1136, Self-emp-not-inc, Masters
1137, Federal-gov, HS-grad
1138, Private, HS-grad
1139, Private, 1st-4th
1140, Private, Some-college
1141, Private, Some-college
1142, Federal-gov, HS-grad
1143, Private, Bachelors
1144, Self-emp-not-inc, Some-college
1145, Private, Masters
1146, Self-emp-inc, Some-college
1147, Private, HS-grad
1148, Self-emp-inc, HS-grad
1149, Self-emp-inc, HS-grad
1150, Private, HS-grad
1151, Private, Some-college
1152, ?, Some-college
1153, Private, HS-grad
